English,Hindi
a,है
abandon,संन्यास
ability,योग्यता
able,काबिल
abortion,गर्भपात
about,के बारे में
above,के ऊपर
abroad,विदेशी
absence,अनुपस्थिति
absolute,शुद्ध
absolutely,बिल्कुल
absorb,सोख लेना
abuse,गाली देना
academic,शैक्षिक
accept,मानना
access,पहुँच
accident,दुर्घटना
accompany,साथ
accomplish,पूरा करना
according,अनुसार
account,खाता
accurate,सटीक
accuse,दोषी
achieve,प्राप्त करना
achievement,उपलब्धि
acid,खट्टा
acknowledge,स्वीकार करना
acquire,अधिग्रहण करना
across,आर–पार
act,कार्यवाही करना
action,भण्डार
active,सक्रिय
activist,कार्यकर्ता
activity,गतिविधि
actor,अभिनेता
actress,अभिनेत्री
actual,वर्तमान
actually,वास्तव में
ad,विज्ञापन
adapt,अनुकूल बनाना
add,जोड़ें
addition,योग
additional,अतिरिक्त
address,पता
adequate,पर्याप्त
adjust,समायोजित करना
adjustment,समायोजन
administration,प्रशासन
administrator,प्रशासक
admire,प्रशंसा करना
admission,प्रवेश
admit,स्वीकार किया
adolescent,किशोर
adopt,मुह बोली बहन
adult,वयस्क
advance,आगे
advanced,विकसित
advantage,फायदा
adventure,साहसिक काम
advertising,विज्ञापन देना
advice,सलाह
advise,सलाह देना
adviser,सलाहकार
advocate,वकील
affair,चक्कर
affect,प्रभावित करना
afford,खर्च वहन करना
afraid,डरा हुआ
African,अफ़्रीकी
African-American,अफ्रीकी अमेरिकी
after,बाद में
afternoon,दोपहर बाद
again,फिर से
against,के खिलाफ
age,आयु
agency,एजेंसी
agenda,डायरी
agent,प्रतिनिधि
aggressive,आक्रामक
ago,पहले
agree,सहमत होना
agreement,समझौता
agricultural,कृषि
ah,एएच
ahead,आगे
aid,मदद करता है
aide,सहायता
AIDS,एड्स
aim,प्यार
air,वायु
aircraft,हवाई जहाज
airline,एयरलाइन
airport,हवाई अड्डा
album,एल्बम
alcohol,शराब पीना
alive,जीवित
all,सब
alliance,संधि
allow,अनुमति
ally,मित्र
almost,लगभग
alone,अकेला
along,साथ–साथ
already,पहले से ही
also,भी
alter,एकांतर
alternative,विकल्प
although,यद्यपि
always,हमेशा
AM,पूर्वाह्न
amazing,बहुत बढ़िया
American,अमेरिकन
among,के बीच
amount,रकम
analysis,विश्लेषण
analyst,विश्लेषक
analyze,विश्लेषण
ancient,प्राचीन
and,तथा
anger,देवदूत
angle,कोण
angry,नाराज़
animal,जानवर
anniversary,सालगिरह
announce,की घोषणा
annual,सालाना
another,दूसरा
answer,जवाब
anticipate,पूर्वानुमान करना
anxiety,चिंता
any,कोई
anybody,कोई
anymore,इसके बाद
anyone,किसी को
anything,कुछ भी
anyway,वैसे भी
anywhere,कहीं भी
apart,अलग
apartment,अपार्टमेंट
apparent,प्रकट
apparently,जाहिरा तौर पर
appeal,अपील करना
appear,के जैसा लगना
appearance,दिखावट
apple,सेब
application,आवेदन पत्र
apply,लागू
appoint,अतिरिक्त
appointment,नियुक्ति
appreciate,सराहना
approach,दृष्टिकोण
appropriate,उचित
approval,अनुमोदन
approve,मंजूर
approximately,अंदाज़न
Arab,अरबी
architect,आर्किटेक्ट
area,क्षेत्र
argue,बहस करना
argument,बहस
arise,उठना
arm,हथियारों
armed,हथियारबंद
army,सेना
around,चारों ओर
arrange,व्यवस्थित करना
arrangement,व्यवस्था
arrest,गिरफ़्तार करना
arrival,आगमन
arrive,पहुंच गए
art,कला
article,लेख
artist,कलाकार
artistic,कलात्मक
as,ऐस
Asian,एशियाई
aside,अलग
ask,पूछना
asleep,सोना
aspect,पहलू
assault,हमला
assert,ज़ोर
assess,आकलन
assessment,मूल्यांकन
asset,संपत्ति
